flame_vert_id  off_vert_id  dist
    688      877128   0.022795
    689      817459   0.095588
    690      817459   0.093270
    691      572027   0.017470
    692      572007   0.017781
    693      702341   0.028108
    694      712683   0.024257
    695      840712   0.012134
    696      833580   0.014825
    697      817693   0.013230
    698      844024   0.091359
    699      844024   0.094150
    700      844024   0.093184
    701      844024   0.090348
    702      819429   0.008565
    703      792873   0.008745
    704      792873   0.012095
    705      633769   0.013852
    706      606433   0.016896
    707      609672   0.019238
    708      643227   0.016408
    709      475508   0.033227
    710      817459   0.090456
    711      817459   0.093586
    712      467940   0.033519
    713      761228   0.009680
    714      770095   0.009953
    715      771860   0.010610
    716      817459   0.095598
    717      817459   0.095886
    718      817459   0.096591
    719      817459   0.086065
    720      817459   0.090243
    721      817459   0.091623
    722      817459   0.087512
    723      784127   0.009178
    724      873762   0.015714
    725      854926   0.015237
    726      898842   0.091209
    727      960476   0.089612
    728      775488   0.065719
    729      793005   0.065760
    730      775486   0.056602
